text,language,type,urgency
"URGENT: Family of 4 trapped on 2nd floor in Hatay district, water rising fast. Please send rescue team! #TurkeyEarthquake",en,RESCUE_REQUEST,CRITICAL
Necesitamos insulina urgente en el refugio de la escuela San Pedro. Hay 3 diab├йticos sin medicamentos desde hace 2 d├нas.,es,MEDICAL_EMERGENCY,CRITICAL
Main bridge on Highway 7 completely collapsed. Road to hospital blocked. No alternative route available.,en,INFRASTRUCTURE_DAMAGE,HIGH
"рджрд┐рд▓реНрд▓реА рдореЗрдВ рдкреБрд▓ рдЯреВрдЯ рдЧрдпрд╛ рд╣реИ, рдореБрдЦреНрдп рд╕рдбрд╝рдХ рдкреВрд░реА рддрд░рд╣ рдмрдВрдж рд╣реИред рдХрдИ рдЧрд╛рдбрд╝рд┐рдпрд╛рдВ рдлрдВрд╕реА рд╣реИрдВред",hi,INFRASTRUCTURE_DAMAGE,HIGH
Le niveau d'eau monte rapidement dans le quartier Est de Lyon. ├Йvacuation en cours.,fr,SITUATIONAL_UPDATE,MEDIUM
┘Ж╪н╪к╪з╪м ┘Е╪з╪б ┘И╪╖╪╣╪з┘Е ╪╣╪з╪м┘Д ┘Б┘К ┘Е╪о┘К┘Е ╪з┘Д╪е┘К┘И╪з╪б ╪и┘Е╪п┘К┘Ж╪й ╪н┘Д╪и. ╪г┘Г╪л╪▒ ┘Е┘Ж 200 ╪╣╪з╪ж┘Д╪й ╪и╪п┘И┘Ж ╪е┘Е╪п╪з╪п╪з╪к,ar,SUPPLY_REQUEST,HIGH
300 families displaced from coastal area now sheltering in the local school gymnasium. Need blankets and food.,en,DISPLACEMENT,MEDIUM
I have a truck and supplies. Can volunteer to deliver food to affected areas in Antakya region.,en,VOLUNTEER_OFFER,LOW
At least 15 injured in building collapse at sector 7. Ambulances on scene but more needed.,en,CASUALTY_REPORT,HIGH
Weather forecast shows more rain expected tonight. Flood risk remains high for the next 48 hours.,en,SITUATIONAL_UPDATE,MEDIUM
Just had a great pizza at the new restaurant downtown. Best margherita ever! ЁЯНХ,en,NOT_CRISIS,NONE
Beautiful sunset from my balcony tonight. Nature is amazing! ЁЯМЕ,en,NOT_CRISIS,NONE
